created_at,entry_id,field1,field2,field3
2020-01-01 00:00:00 UTC,1,IR20,1,2000-0-8T45:162:0
2020-01-01 08:35:00 UTC,2,IR40,0,2000-0-1T45:162:0
2020-01-02 02:12:00 UTC,3,IR22,1,2000-0-4T45:162:0
2020-01-02 17:45:00 UTC,4,IR12,0,2000-0-5T45:162:0
2020-01-03 05:48:00 UTC,5,IR18,1,2000-0-3T45:162:0
2020-01-03 15:56:00 UTC,6,IR7,0,2000-0-3T45:162:0
2020-01-04 09:30:00 UTC,7,IR29,0,2000-0-6T45:162:0
2020-01-04 19:06:00 UTC,8,IR20,0,2000-0-4T45:162:0
2020-01-05 01:49:00 UTC,9,IR14,1,2000-0-7T45:162:0
2020-01-05 05:21:00 UTC,10,IR31,1,2000-0-3T45:162:0
2020-01-05 22:39:00 UTC,11,IR14,1,2000-0-0T45:162:0
2020-01-06 10:55:00 UTC,12,IR33,0,2000-0-6T45:162:0
2020-01-06 16:30:00 UTC,13,IR46,1,2000-0-5T45:162:0
2020-01-07 06:58:00 UTC,14,IR33,1,2000-0-9T45:162:0
2020-01-07 08:40:00 UTC,15,IR5,0,2000-0-9T45:162:0
2020-01-08 08:18:00 UTC,16,IR45,1,2000-0-4T45:162:0
2020-01-08 21:03:00 UTC,17,IR16,1,2000-0-6T45:162:0
2020-01-09 05:46:00 UTC,18,IR4,0,2000-0-4T45:162:0
2020-01-10 03:01:00 UTC,19,IR49,0,2000-0-4T45:162:0
2020-01-10 07:16:00 UTC,20,IR50,1,2000-0-9T45:162:0
2020-01-11 00:31:00 UTC,21,IR31,0,2000-0-2T45:162:0
2020-01-11 18:30:00 UTC,22,IR22,1,2000-0-5T45:162:0
2020-01-12 17:42:00 UTC,23,IR44,1,2000-0-5T45:162:0
2020-01-13 01:54:00 UTC,24,IR28,1,2000-0-7T45:162:0
2020-01-13 17:31:00 UTC,25,IR3,0,2000-0-3T45:162:0
2020-01-14 01:14:00 UTC,26,IR25,1,2000-0-3T45:162:0
2020-01-14 09:40:00 UTC,27,IR43,0,2000-0-6T45:162:0
2020-01-15 01:44:00 UTC,28,IR25,1,2000-0-1T45:162:0
2020-01-15 19:51:00 UTC,29,IR15,0,2000-0-5T45:162:0
2020-01-16 01:43:00 UTC,30,IR33,1,2000-0-3T45:162:0
2020-01-16 09:13:00 UTC,31,IR27,0,2000-0-7T45:162:0
2020-01-16 13:20:00 UTC,32,IR50,0,2000-0-7T45:162:0
2020-01-17 03:54:00 UTC,33,IR1,1,2000-0-3T45:162:0
2020-01-18 00:12:00 UTC,34,IR19,0,2000-0-8T45:162:0
2020-01-18 20:11:00 UTC,35,IR33,0,2000-0-8T45:162:0
2020-01-19 19:06:00 UTC,36,IR24,1,2000-0-7T45:162:0
2020-01-20 04:29:00 UTC,37,IR10,1,2000-0-2T45:162:0
2020-01-20 14:53:00 UTC,38,IR21,1,2000-0-5T45:162:0
2020-01-20 23:43:00 UTC,39,IR12,1,2000-0-8T45:162:0
2020-01-21 01:19:00 UTC,40,IR21,1,2000-0-8T45:162:0
2020-01-21 12:33:00 UTC,41,IR10,1,2000-0-7T45:162:0
2020-01-22 09:22:00 UTC,42,IR48,0,2000-0-2T45:162:0
2020-01-22 15:18:00 UTC,43,IR19,1,2000-0-6T45:162:0
2020-01-23 14:27:00 UTC,44,IR24,1,2000-0-9T45:162:0
2020-01-24 02:25:00 UTC,45,IR15,0,2000-0-5T45:162:0
2020-01-24 13:23:00 UTC,46,IR48,1,2000-0-2T45:162:0
2020-01-24 15:47:00 UTC,47,IR40,0,2000-0-8T45:162:0
2020-01-25 03:22:00 UTC,48,IR16,0,2000-0-8T45:162:0
2020-01-25 12:34:00 UTC,49,IR37,1,2000-0-4T45:162:0
2020-01-25 19:46:00 UTC,50,IR42,0,2000-0-9T45:162:0
2020-01-26 06:19:00 UTC,51,IR18,0,2000-0-2T45:162:0
2020-01-26 08:43:00 UTC,52,IR7,0,2000-0-3T45:162:0
2020-01-27 03:16:00 UTC,53,IR36,1,2000-0-7T45:162:0
2020-01-27 23:36:00 UTC,54,IR17,0,2000-0-6T45:162:0
2020-01-28 06:48:00 UTC,55,IR41,0,2000-0-8T45:162:0
2020-01-28 19:07:00 UTC,56,IR29,1,2000-0-0T45:162:0
2020-01-29 02:04:00 UTC,57,IR20,0,2000-0-8T45:162:0
2020-01-29 19:34:00 UTC,58,IR13,0,2000-0-4T45:162:0
2020-01-30 12:47:00 UTC,59,IR23,1,2000-0-4T45:162:0
2020-01-31 10:13:00 UTC,60,IR41,0,2000-0-2T45:162:0
2020-01-31 22:24:00 UTC,61,IR29,0,2000-0-0T45:162:0
2020-02-01 00:50:00 UTC,62,IR44,0,2000-0-5T45:162:0
2020-02-01 20:21:00 UTC,63,IR3,1,2000-0-3T45:162:0
2020-02-02 07:33:00 UTC,64,IR46,1,2000-0-9T45:162:0
2020-02-03 04:24:00 UTC,65,IR44,1,2000-0-7T45:162:0
2020-02-04 02:53:00 UTC,66,IR8,1,2000-0-1T45:162:0
2020-02-04 05:03:00 UTC,67,IR29,1,2000-0-8T45:162:0
2020-02-04 09:00:00 UTC,68,IR46,0,2000-0-7T45:162:0
2020-02-04 18:58:00 UTC,69,IR28,0,2000-0-4T45:162:0
2020-02-05 18:06:00 UTC,70,IR7,1,2000-0-7T45:162:0
2020-02-06 12:25:00 UTC,71,IR23,0,2000-0-3T45:162:0
2020-02-07 12:19:00 UTC,72,IR41,0,2000-0-3T45:162:0
2020-02-08 11:11:00 UTC,73,IR18,1,2000-0-4T45:162:0
2020-02-08 14:55:00 UTC,74,IR4,1,2000-0-3T45:162:0
2020-02-09 14:50:00 UTC,75,IR6,0,2000-0-6T45:162:0
2020-02-10 04:39:00 UTC,76,IR8,0,2000-0-0T45:162:0
2020-02-10 20:50:00 UTC,77,IR12,0,2000-0-7T45:162:0
2020-02-10 23:15:00 UTC,78,IR2,0,2000-0-8T45:162:0
2020-02-11 22:44:00 UTC,79,IR23,1,2000-0-1T45:162:0
2020-02-12 08:46:00 UTC,80,IR27,0,2000-0-9T45:162:0
2020-02-12 14:40:00 UTC,81,IR22,0,2000-0-4T45:162:0
2020-02-13 09:31:00 UTC,82,IR12,0,2000-0-9T45:162:0
2020-02-13 12:03:00 UTC,83,IR12,1,2000-0-8T45:162:0
2020-02-13 18:57:00 UTC,84,IR21,0,2000-0-5T45:162:0
2020-02-14 02:48:00 UTC,85,IR45,1,2000-0-2T45:162:0
2020-02-14 10:14:00 UTC,86,IR3,1,2000-0-6T45:162:0
2020-02-15 02:52:00 UTC,87,IR29,0,2000-0-2T45:162:0
2020-02-15 12:01:00 UTC,88,IR24,0,2000-0-3T45:162:0
2020-02-16 05:56:00 UTC,89,IR40,0,2000-0-0T45:162:0
2020-02-17 00:57:00 UTC,90,IR47,0,2000-0-0T45:162:0
2020-02-17 02:22:00 UTC,91,IR13,0,2000-0-1T45:162:0
2020-02-18 01:37:00 UTC,92,IR19,1,2000-0-7T45:162:0
2020-02-18 06:05:00 UTC,93,IR40,0,2000-0-3T45:162:0
2020-02-18 20:07:00 UTC,94,IR4,1,2000-0-9T45:162:0
2020-02-19 01:08:00 UTC,95,IR3,1,2000-0-3T45:162:0
2020-02-19 13:17:00 UTC,96,IR49,1,2000-0-3T45:162:0
2020-02-19 21:16:00 UTC,97,IR2,1,2000-0-0T45:162:0
2020-02-20 02:07:00 UTC,98,IR4,1,2000-0-5T45:162:0
2020-02-20 15:49:00 UTC,99,IR5,1,2000-0-9T45:162:0
2020-02-21 06:55:00 UTC,100,IR47,1,2000-0-3T45:162:0
2020-02-21 20:45:00 UTC,101,IR49,1,2000-0-8T45:162:0
2020-02-22 15:23:00 UTC,102,IR36,0,2000-0-9T45:162:0
2020-02-22 21:29:00 UTC,103,IR33,1,2000-0-2T45:162:0
2020-02-23 08:18:00 UTC,104,IR24,1,2000-0-6T45:162:0
2020-02-23 17:26:00 UTC,105,IR6,1,2000-0-6T45:162:0
2020-02-24 15:18:00 UTC,106,IR46,0,2000-0-0T45:162:0
2020-02-24 21:29:00 UTC,107,IR34,0,2000-0-5T45:162:0
2020-02-25 19:41:00 UTC,108,IR41,0,2000-0-0T45:162:0
2020-02-26 17:08:00 UTC,109,IR40,1,2000-0-4T45:162:0
2020-02-26 20:23:00 UTC,110,IR50,1,2000-0-6T45:162:0
2020-02-27 01:06:00 UTC,111,IR34,0,2000-0-4T45:162:0
2020-02-27 06:37:00 UTC,112,IR32,1,2000-0-2T45:162:0
2020-02-27 15:51:00 UTC,113,IR8,1,2000-0-6T45:162:0
